areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByVaccinationDate
E10000034,Worcestershire,utla,2021-09-26,425440
S12000013,Na h-Eileanan Siar,utla,2021-09-26,19651
S12000029,South Lanarkshire,utla,2021-09-26,235017
S12000045,East Dunbartonshire,utla,2021-09-26,82767
E06000003,Redcar and Cleveland,utla,2021-09-25,94011
E06000014,York,utla,2021-09-25,141433
E06000050,Cheshire West and Chester,utla,2021-09-25,248603
E08000001,Bolton,utla,2021-09-25,181381
E08000016,Barnsley,utla,2021-09-25,164591
E08000031,Wolverhampton,utla,2021-09-25,155988
E08000032,Bradford,utla,2021-09-25,309722
E09000018,Hounslow,utla,2021-09-25,175227
E09000032,Wandsworth,utla,2021-09-25,218896
E09000033,Westminster,utla,2021-09-25,135409
E10000034,Worcestershire,utla,2021-09-25,425303
S12000013,Na h-Eileanan Siar,utla,2021-09-25,19644
S12000029,South Lanarkshire,utla,2021-09-25,234910
S12000045,East Dunbartonshire,utla,2021-09-25,82659
E06000003,Redcar and Cleveland,utla,2021-09-24,93931
E06000014,York,utla,2021-09-24,141316
E06000050,Cheshire West and Chester,utla,2021-09-24,248438
E08000001,Bolton,utla,2021-09-24,181174
E08000016,Barnsley,utla,2021-09-24,164147
E08000031,Wolverhampton,utla,2021-09-24,155835
E08000032,Bradford,utla,2021-09-24,309238
E09000018,Hounslow,utla,2021-09-24,174947
E09000032,Wandsworth,utla,2021-09-24,218617
E09000033,Westminster,utla,2021-09-24,135263
E10000034,Worcestershire,utla,2021-09-24,425046
S12000013,Na h-Eileanan Siar,utla,2021-09-24,19639
S12000029,South Lanarkshire,utla,2021-09-24,234614
S12000045,East Dunbartonshire,utla,2021-09-24,82642
E06000003,Redcar and Cleveland,utla,2021-09-23,93866
E06000014,York,utla,2021-09-23,141200
E06000050,Cheshire West and Chester,utla,2021-09-23,248242
E08000001,Bolton,utla,2021-09-23,180987
E08000016,Barnsley,utla,2021-09-23,164124
E08000031,Wolverhampton,utla,2021-09-23,155745
E08000032,Bradford,utla,2021-09-23,308925
E09000018,Hounslow,utla,2021-09-23,174716
E09000032,Wandsworth,utla,2021-09-23,218376
E09000033,Westminster,utla,2021-09-23,135030
E10000034,Worcestershire,utla,2021-09-23,424721
S12000013,Na h-Eileanan Siar,utla,2021-09-23,19606
S12000029,South Lanarkshire,utla,2021-09-23,234507
S12000045,East Dunbartonshire,utla,2021-09-23,82549
E06000003,Redcar and Cleveland,utla,2021-09-22,93733
E06000014,York,utla,2021-09-22,141090
E06000050,Cheshire West and Chester,utla,2021-09-22,248054
