areaCode,areaName,areaType,date,newCasesBySpecimenDate
E06000023,"Bristol, City of",ltla,2021-06-07,54
E06000023,"Bristol, City of",ltla,2021-06-06,42
E06000023,"Bristol, City of",ltla,2021-06-05,30
E06000023,"Bristol, City of",ltla,2021-06-04,44
E06000023,"Bristol, City of",ltla,2021-06-03,41
E06000023,"Bristol, City of",ltla,2021-06-02,32
E06000023,"Bristol, City of",ltla,2021-06-01,21
E06000023,"Bristol, City of",ltla,2021-05-31,22
E06000023,"Bristol, City of",ltla,2021-05-30,13
E06000023,"Bristol, City of",ltla,2021-05-29,18
E06000023,"Bristol, City of",ltla,2021-05-28,14
E06000023,"Bristol, City of",ltla,2021-05-27,17
E06000023,"Bristol, City of",ltla,2021-05-26,25
E06000023,"Bristol, City of",ltla,2021-05-25,17
E06000023,"Bristol, City of",ltla,2021-05-24,14
E06000023,"Bristol, City of",ltla,2021-05-23,11
E06000023,"Bristol, City of",ltla,2021-05-22,12
E06000023,"Bristol, City of",ltla,2021-05-21,10
E06000023,"Bristol, City of",ltla,2021-05-20,15
E06000023,"Bristol, City of",ltla,2021-05-19,14
E06000023,"Bristol, City of",ltla,2021-05-18,5
E06000023,"Bristol, City of",ltla,2021-05-17,20
E06000023,"Bristol, City of",ltla,2021-05-16,8
E06000023,"Bristol, City of",ltla,2021-05-15,16
E06000023,"Bristol, City of",ltla,2021-05-14,4
E06000023,"Bristol, City of",ltla,2021-05-13,7
E06000023,"Bristol, City of",ltla,2021-05-12,7
E06000023,"Bristol, City of",ltla,2021-05-11,10
E06000023,"Bristol, City of",ltla,2021-05-10,13
E06000023,"Bristol, City of",ltla,2021-05-09,12
E06000023,"Bristol, City of",ltla,2021-05-08,4
E06000023,"Bristol, City of",ltla,2021-05-07,10
E06000023,"Bristol, City of",ltla,2021-05-06,8
E06000023,"Bristol, City of",ltla,2021-05-05,7
E06000023,"Bristol, City of",ltla,2021-05-04,2
E06000023,"Bristol, City of",ltla,2021-05-03,9
E06000023,"Bristol, City of",ltla,2021-05-02,1
E06000023,"Bristol, City of",ltla,2021-05-01,3
E06000023,"Bristol, City of",ltla,2021-04-30,5
E06000023,"Bristol, City of",ltla,2021-04-29,7
E06000023,"Bristol, City of",ltla,2021-04-28,6
E06000023,"Bristol, City of",ltla,2021-04-27,10
E06000023,"Bristol, City of",ltla,2021-04-26,12
E06000023,"Bristol, City of",ltla,2021-04-25,6
E06000023,"Bristol, City of",ltla,2021-04-24,5
E06000023,"Bristol, City of",ltla,2021-04-23,17
E06000023,"Bristol, City of",ltla,2021-04-22,17
E06000023,"Bristol, City of",ltla,2021-04-21,17
E06000023,"Bristol, City of",ltla,2021-04-20,13
E06000023,"Bristol, City of",ltla,2021-04-19,13
E06000023,"Bristol, City of",ltla,2021-04-18,16
E06000023,"Bristol, City of",ltla,2021-04-17,11
E06000023,"Bristol, City of",ltla,2021-04-16,12
E06000023,"Bristol, City of",ltla,2021-04-15,22
E06000023,"Bristol, City of",ltla,2021-04-14,14
E06000023,"Bristol, City of",ltla,2021-04-13,13
E06000023,"Bristol, City of",ltla,2021-04-12,14
E06000023,"Bristol, City of",ltla,2021-04-11,15
E06000023,"Bristol, City of",ltla,2021-04-10,14
E06000023,"Bristol, City of",ltla,2021-04-09,19
E06000023,"Bristol, City of",ltla,2021-04-08,17
E06000023,"Bristol, City of",ltla,2021-04-07,14
E06000023,"Bristol, City of",ltla,2021-04-06,8
E06000023,"Bristol, City of",ltla,2021-04-05,17
E06000023,"Bristol, City of",ltla,2021-04-04,6
E06000023,"Bristol, City of",ltla,2021-04-03,8
E06000023,"Bristol, City of",ltla,2021-04-02,10
E06000023,"Bristol, City of",ltla,2021-04-01,11
E06000023,"Bristol, City of",ltla,2021-03-31,17
E06000023,"Bristol, City of",ltla,2021-03-30,25
E06000023,"Bristol, City of",ltla,2021-03-29,22
E06000023,"Bristol, City of",ltla,2021-03-28,25
E06000023,"Bristol, City of",ltla,2021-03-27,14
E06000023,"Bristol, City of",ltla,2021-03-26,25
E06000023,"Bristol, City of",ltla,2021-03-25,44
E06000023,"Bristol, City of",ltla,2021-03-24,48
E06000023,"Bristol, City of",ltla,2021-03-23,31
E06000023,"Bristol, City of",ltla,2021-03-22,46
E06000023,"Bristol, City of",ltla,2021-03-21,18
E06000023,"Bristol, City of",ltla,2021-03-20,26
E06000023,"Bristol, City of",ltla,2021-03-19,29
E06000023,"Bristol, City of",ltla,2021-03-18,39
E06000023,"Bristol, City of",ltla,2021-03-17,41
E06000023,"Bristol, City of",ltla,2021-03-16,35
E06000023,"Bristol, City of",ltla,2021-03-15,34
E06000023,"Bristol, City of",ltla,2021-03-14,34
E06000023,"Bristol, City of",ltla,2021-03-13,15
E06000023,"Bristol, City of",ltla,2021-03-12,37
E06000023,"Bristol, City of",ltla,2021-03-11,17
E06000023,"Bristol, City of",ltla,2021-03-10,22
E06000023,"Bristol, City of",ltla,2021-03-09,29
E06000023,"Bristol, City of",ltla,2021-03-08,46
E06000023,"Bristol, City of",ltla,2021-03-07,29
E06000023,"Bristol, City of",ltla,2021-03-06,32
E06000023,"Bristol, City of",ltla,2021-03-05,29
E06000023,"Bristol, City of",ltla,2021-03-04,35
E06000023,"Bristol, City of",ltla,2021-03-03,30
E06000023,"Bristol, City of",ltla,2021-03-02,29
E06000023,"Bristol, City of",ltla,2021-03-01,40
E06000023,"Bristol, City of",ltla,2021-02-28,29
E06000023,"Bristol, City of",ltla,2021-02-27,33
E06000023,"Bristol, City of",ltla,2021-02-26,60
E06000023,"Bristol, City of",ltla,2021-02-25,52
E06000023,"Bristol, City of",ltla,2021-02-24,45
E06000023,"Bristol, City of",ltla,2021-02-23,56
E06000023,"Bristol, City of",ltla,2021-02-22,61
E06000023,"Bristol, City of",ltla,2021-02-21,36
E06000023,"Bristol, City of",ltla,2021-02-20,66
E06000023,"Bristol, City of",ltla,2021-02-19,62
E06000023,"Bristol, City of",ltla,2021-02-18,83
E06000023,"Bristol, City of",ltla,2021-02-17,74
E06000023,"Bristol, City of",ltla,2021-02-16,89
E06000023,"Bristol, City of",ltla,2021-02-15,81
E06000023,"Bristol, City of",ltla,2021-02-14,58
E06000023,"Bristol, City of",ltla,2021-02-13,58
E06000023,"Bristol, City of",ltla,2021-02-12,106
E06000023,"Bristol, City of",ltla,2021-02-11,99
E06000023,"Bristol, City of",ltla,2021-02-10,111
E06000023,"Bristol, City of",ltla,2021-02-09,130
E06000023,"Bristol, City of",ltla,2021-02-08,134
E06000023,"Bristol, City of",ltla,2021-02-07,104
E06000023,"Bristol, City of",ltla,2021-02-06,73
E06000023,"Bristol, City of",ltla,2021-02-05,102
E06000023,"Bristol, City of",ltla,2021-02-04,137
E06000023,"Bristol, City of",ltla,2021-02-03,135
E06000023,"Bristol, City of",ltla,2021-02-02,129
E06000023,"Bristol, City of",ltla,2021-02-01,159
E06000023,"Bristol, City of",ltla,2021-01-31,117
E06000023,"Bristol, City of",ltla,2021-01-30,151
E06000023,"Bristol, City of",ltla,2021-01-29,144
E06000023,"Bristol, City of",ltla,2021-01-28,153
E06000023,"Bristol, City of",ltla,2021-01-27,203
E06000023,"Bristol, City of",ltla,2021-01-26,202
E06000023,"Bristol, City of",ltla,2021-01-25,235
E06000023,"Bristol, City of",ltla,2021-01-24,116
E06000023,"Bristol, City of",ltla,2021-01-23,146
E06000023,"Bristol, City of",ltla,2021-01-22,192
E06000023,"Bristol, City of",ltla,2021-01-21,213
E06000023,"Bristol, City of",ltla,2021-01-20,227
E06000023,"Bristol, City of",ltla,2021-01-19,232
E06000023,"Bristol, City of",ltla,2021-01-18,287
E06000023,"Bristol, City of",ltla,2021-01-17,180
E06000023,"Bristol, City of",ltla,2021-01-16,202
E06000023,"Bristol, City of",ltla,2021-01-15,270
E06000023,"Bristol, City of",ltla,2021-01-14,310
E06000023,"Bristol, City of",ltla,2021-01-13,301
E06000023,"Bristol, City of",ltla,2021-01-12,331
E06000023,"Bristol, City of",ltla,2021-01-11,355
E06000023,"Bristol, City of",ltla,2021-01-10,245
E06000023,"Bristol, City of",ltla,2021-01-09,261
E06000023,"Bristol, City of",ltla,2021-01-08,266
E06000023,"Bristol, City of",ltla,2021-01-07,311
E06000023,"Bristol, City of",ltla,2021-01-06,316
E06000023,"Bristol, City of",ltla,2021-01-05,443
E06000023,"Bristol, City of",ltla,2021-01-04,448
E06000023,"Bristol, City of",ltla,2021-01-03,258
E06000023,"Bristol, City of",ltla,2021-01-02,315
E06000023,"Bristol, City of",ltla,2021-01-01,191
E06000023,"Bristol, City of",ltla,2020-12-31,257
E06000023,"Bristol, City of",ltla,2020-12-30,328
E06000023,"Bristol, City of",ltla,2020-12-29,386
E06000023,"Bristol, City of",ltla,2020-12-28,207
E06000023,"Bristol, City of",ltla,2020-12-27,219
E06000023,"Bristol, City of",ltla,2020-12-26,157
E06000023,"Bristol, City of",ltla,2020-12-25,41
E06000023,"Bristol, City of",ltla,2020-12-24,89
E06000023,"Bristol, City of",ltla,2020-12-23,148
E06000023,"Bristol, City of",ltla,2020-12-22,163
E06000023,"Bristol, City of",ltla,2020-12-21,198
E06000023,"Bristol, City of",ltla,2020-12-20,99
E06000023,"Bristol, City of",ltla,2020-12-19,85
E06000023,"Bristol, City of",ltla,2020-12-18,108
E06000023,"Bristol, City of",ltla,2020-12-17,105
E06000023,"Bristol, City of",ltla,2020-12-16,127
E06000023,"Bristol, City of",ltla,2020-12-15,124
E06000023,"Bristol, City of",ltla,2020-12-14,125
E06000023,"Bristol, City of",ltla,2020-12-13,87
E06000023,"Bristol, City of",ltla,2020-12-12,86
E06000023,"Bristol, City of",ltla,2020-12-11,71
E06000023,"Bristol, City of",ltla,2020-12-10,90
E06000023,"Bristol, City of",ltla,2020-12-09,83
E06000023,"Bristol, City of",ltla,2020-12-08,107
E06000023,"Bristol, City of",ltla,2020-12-07,80
E06000023,"Bristol, City of",ltla,2020-12-06,50
E06000023,"Bristol, City of",ltla,2020-12-05,67
E06000023,"Bristol, City of",ltla,2020-12-04,65
E06000023,"Bristol, City of",ltla,2020-12-03,112
E06000023,"Bristol, City of",ltla,2020-12-02,104
E06000023,"Bristol, City of",ltla,2020-12-01,62
E06000023,"Bristol, City of",ltla,2020-11-30,104
E06000023,"Bristol, City of",ltla,2020-11-29,83
E06000023,"Bristol, City of",ltla,2020-11-28,77
E06000023,"Bristol, City of",ltla,2020-11-27,116
E06000023,"Bristol, City of",ltla,2020-11-26,105
E06000023,"Bristol, City of",ltla,2020-11-25,152
E06000023,"Bristol, City of",ltla,2020-11-24,135
E06000023,"Bristol, City of",ltla,2020-11-23,153
E06000023,"Bristol, City of",ltla,2020-11-22,93
E06000023,"Bristol, City of",ltla,2020-11-21,120
E06000023,"Bristol, City of",ltla,2020-11-20,168
E06000023,"Bristol, City of",ltla,2020-11-19,164
E06000023,"Bristol, City of",ltla,2020-11-18,230
E06000023,"Bristol, City of",ltla,2020-11-17,273
E06000023,"Bristol, City of",ltla,2020-11-16,339
E06000023,"Bristol, City of",ltla,2020-11-15,209
E06000023,"Bristol, City of",ltla,2020-11-14,258
E06000023,"Bristol, City of",ltla,2020-11-13,334
E06000023,"Bristol, City of",ltla,2020-11-12,379
E06000023,"Bristol, City of",ltla,2020-11-11,300
E06000023,"Bristol, City of",ltla,2020-11-10,355
E06000023,"Bristol, City of",ltla,2020-11-09,367
E06000023,"Bristol, City of",ltla,2020-11-08,267
E06000023,"Bristol, City of",ltla,2020-11-07,266
E06000023,"Bristol, City of",ltla,2020-11-06,343
E06000023,"Bristol, City of",ltla,2020-11-05,354
E06000023,"Bristol, City of",ltla,2020-11-04,350
E06000023,"Bristol, City of",ltla,2020-11-03,362
E06000023,"Bristol, City of",ltla,2020-11-02,401
E06000023,"Bristol, City of",ltla,2020-11-01,146
E06000023,"Bristol, City of",ltla,2020-10-31,182
