time,open,high,low,close,volume
2021-10-28 20:00:00,125.84,125.84,125.84,125.84,250
2021-10-28 19:45:00,125.84,125.84,125.84,125.84,102
2021-10-28 18:45:00,125.86,125.86,125.85,125.85,751
2021-10-28 18:30:00,125.9,125.9,125.9,125.9,250
2021-10-28 18:15:00,125.87,125.92,125.87,125.92,531
2021-10-28 18:00:00,125.95,125.95,125.92,125.92,711
2021-10-28 17:45:00,125.92,125.92,125.92,125.92,498
2021-10-28 17:30:00,125.9,125.95,125.9,125.95,399
2021-10-28 17:15:00,125.86,125.86,125.86,125.86,503
2021-10-28 17:00:00,126.19,126.19,125.86,125.87,2547
2021-10-28 16:45:00,125.84,126.29,125.84,125.86,17099
2021-10-28 16:30:00,125.83,126.08,125.83,126.07,20261
2021-10-28 16:15:00,125.84,125.84,125.5,125.84,93029
2021-10-28 16:00:00,125.435,125.88,125.37,125.83,627048
2021-10-28 15:45:00,125.349,125.485,125.25,125.435,204529
2021-10-28 15:30:00,125.415,125.43,125.32,125.35,238496
2021-10-28 15:15:00,125.41,125.48,125.33,125.415,124665
2021-10-28 15:00:00,125.77,125.77,125.365,125.416,111966
2021-10-28 14:45:00,125.82,125.9,125.71,125.78,156869
2021-10-28 14:30:00,125.67,125.92,125.64,125.825,143259
2021-10-28 14:15:00,125.43,125.76,125.4,125.641,137190
2021-10-28 14:00:00,125.49,125.5463,125.41,125.43,117303
2021-10-28 13:45:00,125.155,125.54,125.08,125.47,152335
2021-10-28 13:30:00,125.15,125.19,125.005,125.16,106691
2021-10-28 13:15:00,125.105,125.219,125.07,125.15,203896
2021-10-28 13:00:00,125.195,125.385,125.09,125.105,200001
2021-10-28 12:45:00,125.3298,125.36,125.11,125.195,118172
2021-10-28 12:30:00,125.0086,125.44,125.0,125.33,213980
2021-10-28 12:15:00,124.82,125.015,124.785,125.0077,264292
2021-10-28 12:00:00,124.9,124.9,124.62,124.815,221168
2021-10-28 11:45:00,124.85,125.0,124.82,124.909,256716
2021-10-28 11:30:00,124.97,125.075,124.7,124.86,353577
2021-10-28 11:15:00,125.29,125.29,124.98,124.98,352762
2021-10-28 11:00:00,125.2484,125.3712,125.2,125.27,216334
2021-10-28 10:45:00,125.615,125.63,125.24,125.245,227217
2021-10-28 10:30:00,125.71,125.73,125.32,125.6125,149292
2021-10-28 10:15:00,125.83,125.9085,125.59,125.7,162595
2021-10-28 10:00:00,126.01,126.1,125.58,125.84,224295
2021-10-28 09:45:00,125.17,126.31,125.02,125.98,496444
2021-10-28 09:30:00,125.5,125.5,125.2,125.2,2649
2021-10-28 09:15:00,125.17,125.5,125.17,125.3,3335
2021-10-28 08:30:00,125.3,125.55,125.3,125.55,4577
2021-10-28 08:15:00,125.54,125.7824,125.22,125.3,3464
2021-10-28 08:00:00,125.49,125.52,125.49,125.52,525
2021-10-28 06:45:00,125.29,125.3,125.29,125.3,575
2021-10-27 20:00:00,125.73,125.74,125.5,125.54,2820
2021-10-27 19:45:00,125.51,125.51,125.51,125.51,405
2021-10-27 19:30:00,125.42,125.42,125.42,125.42,298
2021-10-27 19:15:00,125.45,125.45,125.45,125.45,118
2021-10-27 19:00:00,125.39,125.45,125.39,125.45,200
2021-10-27 18:45:00,125.35,125.35,125.35,125.35,2533
2021-10-27 18:30:00,125.35,125.37,125.34,125.37,2679
2021-10-27 18:15:00,125.35,125.35,125.35,125.35,495
2021-10-27 18:00:00,125.25,125.25,125.15,125.15,512
2021-10-27 17:45:00,125.34,125.34,125.34,125.34,501
2021-10-27 17:30:00,125.27,125.27,125.27,125.27,176
2021-10-27 17:15:00,125.18,125.2,125.18,125.2,922
2021-10-27 17:00:00,125.16,125.16,125.16,125.16,529
2021-10-27 16:45:00,125.1,125.17,125.0201,125.07,24910
