,Name,Total,Male,Female
0,Hong Kong,85.02600000000001,82.12799999999999,87.914
1,United Kingdom,81.52199999999999,79.88,83.12799999999999
2,Estonia,78.892,74.58,82.83200000000001
3,Romania,76.232,72.822,79.67399999999999
