areaCode,areaName,areaType,date,newLFDTests
E12000001,North East,region,2021-05-18,20662
E12000001,North East,region,2021-05-17,37247
E12000001,North East,region,2021-05-16,45969
E12000001,North East,region,2021-05-15,9656
E12000001,North East,region,2021-05-14,18409
E12000001,North East,region,2021-05-13,32378
E12000001,North East,region,2021-05-12,41246
E12000001,North East,region,2021-05-11,20220
E12000001,North East,region,2021-05-10,37788
E12000001,North East,region,2021-05-09,51836
E12000001,North East,region,2021-05-08,10307
E12000001,North East,region,2021-05-07,20041
E12000001,North East,region,2021-05-06,33475
E12000001,North East,region,2021-05-05,43626
E12000001,North East,region,2021-05-04,31728
E12000001,North East,region,2021-05-03,44740
E12000001,North East,region,2021-05-02,32550
E12000001,North East,region,2021-05-01,9965
E12000001,North East,region,2021-04-30,18851
E12000001,North East,region,2021-04-29,35846
E12000001,North East,region,2021-04-28,48645
E12000001,North East,region,2021-04-27,22447
E12000001,North East,region,2021-04-26,42065
E12000001,North East,region,2021-04-25,59344
E12000001,North East,region,2021-04-24,10993
E12000001,North East,region,2021-04-23,19654
E12000001,North East,region,2021-04-22,37601
E12000001,North East,region,2021-04-21,51207
E12000001,North East,region,2021-04-20,22624
E12000001,North East,region,2021-04-19,42032
E12000001,North East,region,2021-04-18,67912
E12000001,North East,region,2021-04-17,10206
E12000001,North East,region,2021-04-16,19440
E12000001,North East,region,2021-04-15,37295
E12000001,North East,region,2021-04-14,48065
E12000001,North East,region,2021-04-13,20550
E12000001,North East,region,2021-04-12,37737
E12000001,North East,region,2021-04-11,66833
E12000001,North East,region,2021-04-10,9784
E12000001,North East,region,2021-04-09,17483
E12000001,North East,region,2021-04-08,29381
E12000001,North East,region,2021-04-07,36527
E12000001,North East,region,2021-04-06,21556
E12000001,North East,region,2021-04-05,30216
E12000001,North East,region,2021-04-04,32915
E12000001,North East,region,2021-04-03,8526
E12000001,North East,region,2021-04-02,13471
E12000001,North East,region,2021-04-01,31207
E12000001,North East,region,2021-03-31,43503
E12000001,North East,region,2021-03-30,12063
E12000001,North East,region,2021-03-29,13313
E12000001,North East,region,2021-03-28,84543
E12000001,North East,region,2021-03-27,8581
E12000001,North East,region,2021-03-26,21629
E12000001,North East,region,2021-03-25,44546
E12000001,North East,region,2021-03-24,73349
E12000001,North East,region,2021-03-23,26129
E12000001,North East,region,2021-03-22,49320
E12000001,North East,region,2021-03-21,82034
E12000001,North East,region,2021-03-20,8604
E12000001,North East,region,2021-03-19,30240
E12000001,North East,region,2021-03-18,53487
E12000001,North East,region,2021-03-17,65461
E12000001,North East,region,2021-03-16,47858
E12000001,North East,region,2021-03-15,68386
E12000001,North East,region,2021-03-14,38869
E12000001,North East,region,2021-03-13,7385
E12000001,North East,region,2021-03-12,52622
E12000001,North East,region,2021-03-11,63199
E12000001,North East,region,2021-03-10,55734
E12000001,North East,region,2021-03-09,57703
E12000001,North East,region,2021-03-08,72142
E12000001,North East,region,2021-03-07,27631
E12000001,North East,region,2021-03-06,6681
E12000001,North East,region,2021-03-05,38179
E12000001,North East,region,2021-03-04,37585
E12000001,North East,region,2021-03-03,28011
E12000001,North East,region,2021-03-02,24328
E12000001,North East,region,2021-03-01,31260
E12000001,North East,region,2021-02-28,16003
E12000001,North East,region,2021-02-27,4374
E12000001,North East,region,2021-02-26,16048
E12000001,North East,region,2021-02-25,21132
E12000001,North East,region,2021-02-24,21458
E12000001,North East,region,2021-02-23,15961
E12000001,North East,region,2021-02-22,25756
E12000001,North East,region,2021-02-21,16612
E12000001,North East,region,2021-02-20,4485
E12000001,North East,region,2021-02-19,11008
E12000001,North East,region,2021-02-18,10575
E12000001,North East,region,2021-02-17,11028
E12000001,North East,region,2021-02-16,10516
E12000001,North East,region,2021-02-15,13291
E12000001,North East,region,2021-02-14,9244
E12000001,North East,region,2021-02-13,4536
E12000001,North East,region,2021-02-12,14507
E12000001,North East,region,2021-02-11,18965
E12000001,North East,region,2021-02-10,19250
E12000001,North East,region,2021-02-09,15268
E12000001,North East,region,2021-02-08,23003
E12000001,North East,region,2021-02-07,16211
E12000001,North East,region,2021-02-06,4600
E12000001,North East,region,2021-02-05,15014
E12000001,North East,region,2021-02-04,20092
E12000001,North East,region,2021-02-03,20996
E12000001,North East,region,2021-02-02,14985
E12000001,North East,region,2021-02-01,22893
E12000001,North East,region,2021-01-31,16192
E12000001,North East,region,2021-01-30,4555
E12000001,North East,region,2021-01-29,14198
E12000001,North East,region,2021-01-28,18013
E12000001,North East,region,2021-01-27,19318
E12000001,North East,region,2021-01-26,14276
E12000001,North East,region,2021-01-25,19242
E12000001,North East,region,2021-01-24,8091
E12000001,North East,region,2021-01-23,3362
E12000001,North East,region,2021-01-22,10103
E12000001,North East,region,2021-01-21,9518
E12000001,North East,region,2021-01-20,9187
E12000001,North East,region,2021-01-19,10163
E12000001,North East,region,2021-01-18,12642
E12000001,North East,region,2021-01-17,3038
E12000001,North East,region,2021-01-16,2545
E12000001,North East,region,2021-01-15,6941
E12000001,North East,region,2021-01-14,5665
E12000001,North East,region,2021-01-13,6021
E12000001,North East,region,2021-01-12,6716
E12000001,North East,region,2021-01-11,7692
E12000001,North East,region,2021-01-10,1916
E12000001,North East,region,2021-01-09,1529
E12000001,North East,region,2021-01-08,4221
E12000001,North East,region,2021-01-07,3903
E12000001,North East,region,2021-01-06,3261
E12000001,North East,region,2021-01-05,2850
E12000001,North East,region,2021-01-04,2805
E12000001,North East,region,2021-01-03,697
E12000001,North East,region,2021-01-02,630
E12000001,North East,region,2021-01-01,414
E12000001,North East,region,2020-12-31,903
E12000001,North East,region,2020-12-30,945
E12000001,North East,region,2020-12-29,1233
E12000001,North East,region,2020-12-28,509
E12000001,North East,region,2020-12-27,299
E12000001,North East,region,2020-12-26,234
E12000001,North East,region,2020-12-25,193
E12000001,North East,region,2020-12-24,409
E12000001,North East,region,2020-12-23,1096
E12000001,North East,region,2020-12-22,1022
E12000001,North East,region,2020-12-21,1117
E12000001,North East,region,2020-12-20,407
E12000001,North East,region,2020-12-19,386
E12000001,North East,region,2020-12-18,768
E12000001,North East,region,2020-12-17,603
E12000001,North East,region,2020-12-16,594
E12000001,North East,region,2020-12-15,827
E12000001,North East,region,2020-12-14,568
E12000001,North East,region,2020-12-13,225
E12000001,North East,region,2020-12-12,196
E12000001,North East,region,2020-12-11,361
E12000001,North East,region,2020-12-10,307
E12000001,North East,region,2020-12-09,1412
E12000001,North East,region,2020-12-08,936
E12000001,North East,region,2020-12-07,856
E12000001,North East,region,2020-12-06,580
E12000001,North East,region,2020-12-05,753
E12000001,North East,region,2020-12-04,1095
E12000001,North East,region,2020-12-03,867
E12000001,North East,region,2020-12-02,899
E12000001,North East,region,2020-12-01,533
E12000001,North East,region,2020-11-30,430
E12000001,North East,region,2020-11-29,55
E12000001,North East,region,2020-11-28,45
E12000001,North East,region,2020-11-27,52
E12000001,North East,region,2020-11-26,36
E12000001,North East,region,2020-11-25,46
E12000001,North East,region,2020-11-24,53
E12000001,North East,region,2020-11-23,30
E12000001,North East,region,2020-11-22,1
E12000001,North East,region,2020-11-21,1
E12000001,North East,region,2020-11-20,3
E12000001,North East,region,2020-11-19,6
E12000001,North East,region,2020-11-18,3
E12000001,North East,region,2020-11-17,5
E12000001,North East,region,2020-11-16,2
E12000001,North East,region,2020-11-15,0
E12000001,North East,region,2020-11-14,2
E12000001,North East,region,2020-11-13,5
E12000001,North East,region,2020-11-12,4
E12000001,North East,region,2020-11-11,8
E12000001,North East,region,2020-11-10,10
E12000001,North East,region,2020-11-09,4
E12000001,North East,region,2020-11-08,4
E12000001,North East,region,2020-11-07,8
E12000001,North East,region,2020-11-06,7
E12000001,North East,region,2020-11-05,0
E12000001,North East,region,2020-11-04,0
E12000001,North East,region,2020-11-03,0
E12000001,North East,region,2020-11-02,0
E12000001,North East,region,2020-11-01,0
E12000001,North East,region,2020-10-31,0
E12000001,North East,region,2020-10-30,0
E12000001,North East,region,2020-10-29,0
E12000001,North East,region,2020-10-28,0
E12000001,North East,region,2020-10-27,1
E12000001,North East,region,2020-10-26,0
E12000001,North East,region,2020-10-25,0
E12000001,North East,region,2020-10-24,0
E12000001,North East,region,2020-10-23,1
E12000002,North West,region,2021-10-03,66859
E12000002,North West,region,2021-10-02,37208
E12000002,North West,region,2021-10-01,52345
E12000002,North West,region,2021-09-30,64502
E12000002,North West,region,2021-09-29,75983
E12000002,North West,region,2021-09-28,53897
E12000002,North West,region,2021-09-27,78126
E12000002,North West,region,2021-09-26,78565
E12000002,North West,region,2021-09-25,45012
E12000002,North West,region,2021-09-24,57582
E12000002,North West,region,2021-09-23,73107
E12000002,North West,region,2021-09-22,75131
