LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,,
Brazil,GDP,TOT,USD_CAP,A,2009,13331.38649,,,
Brazil,GDP,TOT,USD_CAP,A,2010,14359.93355,,,
Brazil,GDP,TOT,USD_CAP,A,2011,15109.7374,,,
Brazil,GDP,TOT,USD_CAP,A,2012,15120.06365,,,
Brazil,GDP,TOT,USD_CAP,A,2013,15669.14014,,,
Brazil,GDP,TOT,USD_CAP,A,2014,15800.08889,,,
Brazil,GDP,TOT,USD_CAP,A,2015,14816.2906,,,
Brazil,GDP,TOT,USD_CAP,A,2016,14326.10209,,,
Brazil,GDP,TOT,USD_CAP,A,2017,14596.88968,,,
Brazil,GDP,TOT,USD_CAP,A,2018,15090.63762,,,
Singapore,GDP,TOT,USD_CAP,A,2000,43863.19343,,,
Singapore,GDP,TOT,USD_CAP,A,2001,43167.22316,,,
Singapore,GDP,TOT,USD_CAP,A,2002,45151.97367,,,
Singapore,GDP,TOT,USD_CAP,A,2003,48789.20612,,,
Singapore,GDP,TOT,USD_CAP,A,2004,54335.93791,,,
Singapore,GDP,TOT,USD_CAP,A,2005,58755.70266,,,
Singapore,GDP,TOT,USD_CAP,A,2006,63960.87209,,,
Singapore,GDP,TOT,USD_CAP,A,2007,68671.21211,,,
Singapore,GDP,TOT,USD_CAP,A,2008,67630.45745,,,
Singapore,GDP,TOT,USD_CAP,A,2009,66190.39688,,,
Singapore,GDP,TOT,USD_CAP,A,2010,75343.9493,,,
Singapore,GDP,TOT,USD_CAP,A,2011,80047.57357,,,
Singapore,GDP,TOT,USD_CAP,A,2012,82072.27916,,,
Singapore,GDP,TOT,USD_CAP,A,2013,83005.68969,,,
Singapore,GDP,TOT,USD_CAP,A,2014,84408.21652,,,
Singapore,GDP,TOT,USD_CAP,A,2015,86972.56307,,,
Singapore,GDP,TOT,USD_CAP,A,2016,89396.72444,,,
Singapore,GDP,TOT,USD_CAP,A,2017,94945.25089,,,
Singapore,GDP,TOT,USD_CAP,A,2018,101280.4135,,,
